eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Prometheus,FALSE,139380,0,0,0.00204,0,0.48,0,0,33,0,0,0,133x79x61,0.613,0,??/10/1980,1.6E+017,NA,Secondary,Saturn,NA,NA,NA,4.99623331898407,899.321997417133,2.24586009581551E-09,8.42105263157895E-11,0.000931697753102,1.09385143534099E+021
Pandora,FALSE,141720,0,0,0.0042,0,0.49,0,0,33,0,0,0,103x80x64,0.629,0,??/10/1980,1.4E+017,NA,Secondary,Saturn,NA,NA,NA,4.9137383573243,884.472904318374,2.24586009581551E-09,7.36842105263158E-11,0.000947339686968,9.25774101162214E+020
Pan,FALSE,133580,0,0,0,0,0.42,0,0,33,0,0,0,35x32x21,0.575,0,22/08/1981,4950000000000000,NA,Secondary,Saturn,NA,NA,NA,5.21316813894296,938.370265009732,2.24586009581551E-09,2.60526315789474E-12,0.000892927147793,3.68435610395659E+019
Ymir,FALSE,23140400,0,0,0.187,167.9,1,0,0,9,0,0,0,NA,1315.4,0,07/08/2000,3970000000000000,NA,Secondary,Saturn,NA,NA,NA,0.030092435740091,5.41663843321637,1.67047445143302E-10,2.08947368421053E-12,0.154684019844141,984664004048878
Paaliaq,FALSE,15024000,6908035,23139965,0.364,47.2,1,0,0,10,0,0,0,NA,686.9,0,07/08/2000,7250000000000000,NA,Secondary,Saturn,NA,NA,NA,0.046349307774228,8.34287539936102,2.06231413757163E-10,3.81578947368421E-12,0.100429236924961,4265855453071323
Tarvos,FALSE,18263200,0,0,0.531,33.8,1,0,0,7,0,0,0,NA,926.2,0,23/09/2000,2300000000000000,NA,Secondary,Saturn,NA,NA,NA,0.038128531692146,6.86313570458627,1.0105339274101E-10,1.21052631578947E-12,0.122081951531413,915826834475457
Ijiraq,FALSE,11367400,0,0,0.316,49.1,1,0,0,5,0,0,0,NA,451.4,0,23/09/2000,1180000000000000,NA,Secondary,Saturn,NA,NA,NA,0.061258247268505,11.0264845083308,5.15578534392908E-11,6.21052631578947E-13,0.075986375653674,1.21282740388046E+015
Suttungr,FALSE,19476700,0,0,0.114,175.8,1,0,0,3,0,0,0,NA,1016.7,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.035752719916618,6.4354895849913,1.85608272381447E-11,1.21052631578947E-13,0.130193698004286,80526044180309.1
Kiviuq,FALSE,11311100,0,0,0.334,48.7,1,0,0,7,0,0,0,NA,449.2,0,07/08/2000,2790000000000000,NA,Secondary,Saturn,NA,NA,NA,0.061563331594628,11.0813996870331,1.0105339274101E-10,1.46842105263158E-12,0.075610033398691,2896235003851663
Mundilfari,FALSE,18667900,0,0,0.21,169.4,1,0,0,3,0,0,0,NA,952.6,0,23/09/2000,230000000000000,NA,Secondary,Saturn,NA,NA,NA,0.03730173184986,6.71431173297479,1.85608272381447E-11,1.21052631578947E-13,0.124787203939795,87654896878424.1
